country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Fiji,52.1,42.1,32.1,30.4,28.6,28.6,28.6,28.6,57.1,57.1,57.1,53.6,53.6,53.6,50
France,75,75,75,73.2,71.4,71.4,71.4,67.9,71.4,71.4,71.4,75,75,78.6,75
Gabon,32.1,27.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,18.6
United Kingdom,85.7,85.7,85.7,82.2,78.6,78.6,75,71.4,71.4,71.4,71.4,75,75,75,75
Georgia,17.9,12.9,7.9,14.7,21.4,21.4,32.1,46.4,46.4,42.9,42.9,42.9,35.7,32.1,35.7
Ghana,46.4,46.4,46.4,48.2,50,50,50,53.6,53.6,57.1,57.1,57.1,57.1,57.1,53.6
Guinea,7.9,6.1,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3,4.3
Gambia,46.4,46.4,46.4,44.6,42.9,42.9,39.3,39.3,39.3,39.3,32.1,39.3,42.9,42.9,42.9
Guinea-Bissau,0.7,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,28.6,28.6,28.6,18.3,7.9,7.9,7.9,7.9,7.9,7.9,4.3,4.3,4.3,4.3,4.3
Greece,75,75,75,69.7,64.3,57.1,57.1,57.1,53.6,53.6,53.6,53.6,53.6,48.6,52.1
Guatemala,67.9,67.9,67.9,66.1,64.3,64.3,64.3,60.7,60.7,60.7,60.7,57.1,53.6,46.4,39.3
Guyana,53.6,55.4,57.1,55.4,53.6,53.6,53.6,53.6,46.4,53.6,53.6,57.1,57.1,53.6,53.6
"Hong Kong, China",57.1,57.1,57.1,55.4,53.6,53.6,60.7,60.7,57.1,57.1,57.1,60.7,60.7,43.6,36.4
Honduras,64.3,62.5,60.7,58.9,57.1,57.1,57.1,57.1,57.1,57.1,57.1,53.6,46.4,42.9,42.9
Croatia,60.7,60.7,60.7,60.7,60.7,57.1,60.7,60.7,60.7,60.7,60.7,60.7,60.7,60.7,60.7
Haiti,36.4,36.4,36.4,27.5,18.6,18.6,22.1,22.1,22.1,22.1,22.1,22.1,29.3,20.7,17.1
Hungary,67.9,64.3,60.7,60.7,60.7,60.7,60.7,60.7,60.7,60.7,60.7,60.7,60.7,60.7,64.3
Indonesia,71.4,69.7,67.9,71.5,75,75,75,75,71.4,71.4,71.4,71.4,71.4,71.4,75
India,82.1,82.1,82.1,83.9,85.7,75,75,71.4,71.4,71.4,75,67.9,67.9,67.9,71.4
Ireland,89.3,89.3,89.3,84,78.6,78.6,78.6,78.6,75,75,78.6,78.6,78.6,78.6,78.6
Iran,35.7,32.1,28.6,30.4,32.1,28.6,28.6,28.6,28.6,28.6,32.1,32.1,32.1,28.6,
Iraq,0,0.35,0.7,4.3,7.9,4.3,7.9,7.9,7.9,0.7,0.7,0.7,0.7,0,0
Iceland,96.4,96.4,96.4,96.4,96.4,96.4,96.4,96.4,92.9,92.9,89.3,92.9,92.9,92.9,85.7
Israel,66.4,70.7,75,75,75,75,75,75,71.4,71.4,75,75,75,78.6,75
Italy,64.3,64.3,64.3,66.1,67.9,64.3,64.3,64.3,64.3,64.3,64.3,64.3,60.7,60.7,64.3
Jamaica,71.4,69.7,67.9,67.9,67.9,64.3,67.9,67.9,67.9,67.9,67.9,71.4,71.4,71.4,71.4
Jordan,37.9,35,32.1,39.3,46.4,42.9,39.3,39.3,39.3,39.3,42.9,42.9,42.9,42.9,39.3
Japan,78.6,80.3,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,85.7
Kazakhstan,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,21.4,32.1
Kenya,42.9,42.9,42.9,42.9,42.9,42.9,42.9,42.9,42.9,50,50,53.6,53.6,57.1,53.6
Kyrgyz Republic,18.6,18.6,18.6,15,11.4,18.6,22.1,22.1,32.9,32.9,29.3,29.3,29.3,29.3,29.3
Cambodia,60.7,60.7,60.7,60.7,60.7,60.7,60.7,60.7,64.3,57.1,57.1,57.1,50,46.4,39.3
South Korea,71.4,73.2,75,76.8,78.6,78.6,82.1,78.6,78.6,78.6,75,78.6,78.6,78.6,82.1
Kuwait,41.4,42.1,42.9,42.9,42.9,42.9,39.3,39.3,39.3,42.9,42.9,42.9,42.9,42.9,39.3
Lao,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,32.1,28.6,28.6,28.6,28.6,28.6
Lebanon,23.6,27.9,32.1,35.7,39.3,21.4,17.9,17.9,21.4,21.4,21.4,25.7,22.1,15,15
Liberia,21.4,14.7,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,25.7,25.7,25.7,30.7,27.1
Libya,16.4,18.9,21.4,21.4,21.4,28.6,57.1,46.4,25,0,0,3.6,3.6,0,0
Sri Lanka,50,48.2,46.4,53.5,60.7,60.7,53.6,53.6,53.6,67.9,67.9,71.4,57.1,60.7,57.1
Lesotho,64.3,62.5,60.7,60.7,60.7,57.1,57.1,57.1,57.1,53.6,53.6,50,50,45,41.4
Lithuania,64.3,60.7,57.1,57.1,57.1,57.1,57.1,60.7,60.7,60.7,57.1,57.1,64.3,64.3,
Luxembourg,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,89.3,89.3,89.3,89.3,85.7
Latvia,64.3,60.7,57.1,55.4,53.6,53.6,53.6,53.6,57.1,57.1,57.1,57.1,60.7,60.7,60.7
Morocco,37.9,38.6,39.3,42.9,46.4,46.4,46.4,46.4,42.9,46.4,46.4,46.4,46.4,46.4,46.4
Moldova,42.9,42.9,42.9,50,57.1,50,50,50,50,42.9,42.9,46.4,46.4,46.4,46.4
Madagascar,57.1,57.1,57.1,39.3,21.4,21.4,21.4,21.4,25,28.6,35.7,35.7,35.7,35.7,35.7
Mexico,60.7,66,71.4,71.4,71.4,71.4,71.4,67.9,60.7,60.7,60.7,64.3,60.7,60.7,57.1
North Macedonia,45,43.2,41.4,43.9,46.4,46.4,46.4,46.4,53.6,46.4,32.1,50,53.6,53.6,57.1
Mali,57.1,57.1,57.1,60.7,64.3,64.3,35.7,39.3,39.3,39.3,39.3,39.3,39.3,30.7,0
Malta,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,75,67.9
Myanmar,17.9,17.9,17.9,17.9,17.9,17.9,17.9,21.4,28.6,35.7,35.7,39.3,39.3,39.3,39.3
Montenegro,57.1,53.5,50,50,50,50,53.6,53.6,53.6,57.1,53.6,53.6,53.6,53.6,57.1
Mongolia,60.7,60.7,60.7,58.9,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1,57.1
Mozambique,57.1,55.4,53.6,50,46.4,46.4,42.9,35.7,35.7,35.7,21.4,21.4,21.4,21.4,14.3
Mauritania,42.9,42.9,42.9,42.9,42.9,42.9,42.9,42.9,42.9,42.9,42.9,35.7,35.7,35.7,35.7
Mauritius,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,82.1,78.6
Malawi,50,50,50,53.5,57.1,57.1,57.1,50,42.9,42.9,42.9,42.9,42.9,42.9,42.9
Malaysia,57.1,58.9,60.7,64.3,67.9,67.9,78.6,78.6,78.6,78.6,78.6,78.6,78.6,78.6,78.6
Namibia,40,46.8,53.6,53.6,53.6,50,50,50,50,53.6,53.6,53.6,53.6,53.6,53.6
Niger,11.4,11.4,11.4,7.85,4.3,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4,11.4
Nigeria,18.6,25.4,32.1,32.1,32.1,32.1,32.1,32.1,28.6,42.9,42.9,46.4,46.4,39.3,35.7
Nicaragua,57.1,50.4,43.6,43.6,43.6,43.6,43.6,40,32.9,32.9,32.9,32.9,18.6,28.6,28.6
Netherlands,92.9,91.1,89.3,89.3,89.3,89.3,89.3,82.1,85.7,85.7,85.7,92.9,92.9,92.9,92.9
Norway,96.4,96.4,96.4,96.4,96.4,96.4,96.4,96.4,96.4,96.4,96.4,96.4,96.4,96.4,96.4
Nepal,35.7,39.3,42.9,42.9,42.9,42.9,42.9,42.9,42.9,42.9,42.9,53.6,53.6,53.6,53.6
New Zealand,85.7,87.5,89.3,91.1,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,92.9,89.3
Oman,30.7,33.2,35.7,35.7,35.7,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3,39.3
Pakistan,53.6,55.4,57.1,57.1,57.1,57.1,53.6,53.6,53.6,57.1,53.6,53.6,53.6,57.1,53.6
Panama,71.4,71.4,71.4,69.7,67.9,64.3,64.3,64.3,64.3,64.3,64.3,67.9,60.7,60.7,64.3
Peru,32.9,37.9,42.9,46.5,50,50,50,50,50,50,53.6,53.6,50,50,53.6
Philippines,53.6,51.8,50,50,50,50,53.6,53.6,53.6,57.1,57.1,57.1,57.1,53.6,50
